model_a,model_b,error_type,b,c,chi2,p_value,significant
tiny,medium,overall,630,469,23.293903548680618,1.3904002173204502e-06,True
tiny,medium,phonological,79,10,51.95505617977528,5.678564012479579e-13,True
tiny,medium,morphological,75,6,57.08641975308642,4.170757476955312e-14,True
tiny,medium,lexical,205,47,97.81349206349206,4.5970461659553195e-23,True
tiny,medium,pragmatic,29,11,7.225,0.00718951725016505,True
tiny,medium,omission,232,525,112.63408190224571,2.59508317505055e-26,True
tiny,medium,addition,104,19,57.36585365853659,3.6183492914920044e-14,True
tiny,medium,orthographic,502,252,82.22944297082228,1.2117134225567554e-19,True
tiny,large-v3,overall,696,392,84.38327205882354,4.075817494320465e-20,True
tiny,large-v3,phonological,83,6,64.89887640449439,7.884201918770625e-16,True
tiny,large-v3,morphological,77,7,56.67857142857143,5.1319753456520214e-14,True
tiny,large-v3,lexical,209,29,134.62605042016807,3.9859512939839445e-31,True
tiny,large-v3,pragmatic,31,15,4.891304347826087,0.026992286272402254,True
tiny,large-v3,omission,299,351,4.001538461538462,0.045458752343819624,True
tiny,large-v3,addition,102,58,11.55625,0.0006752189819075748,True
tiny,large-v3,orthographic,482,309,37.40075853350189,9.61847115083011e-10,True
medium,large-v3,overall,386,243,32.05723370429253,1.4969665364329656e-08,True
medium,large-v3,phonological,11,3,3.5,0.0613688291394023,False
medium,large-v3,morphological,10,9,0.0,1.0,False
medium,large-v3,lexical,50,28,5.653846153846154,0.01741713028689996,True
medium,large-v3,pragmatic,9,11,0.05,0.8230632737581214,False
medium,large-v3,omission,347,106,127.1523178807947,1.720489605467306e-29,True
medium,large-v3,addition,15,56,22.535211267605632,2.0632678310526894e-06,True
medium,large-v3,orthographic,191,268,12.583877995642702,0.00038908854731815813,True
